Movie_Title,Movie_years,Content_Ratio,Screen_Count,Aspect_Ratio,Movie_actor_1_name,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_name,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_name,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_names,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_names,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_name,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
Batman v Superman: Dawn of Justice,2016,2,4242,2.35,Ben Affleck,58,0,1,Henry Cavill,17,0,1,Amy Adams,26,0,0,Zack Snyder,18,0,3,Chris Terrio,3,1,17,Junkie XL,25,0,7,Larry Fong,21,0,0,250000000,6.4,CLASS-2
Captain America: Civil War,2016,2,4226,2.35,Chris Evans,42,0,35,Robert Downey Jr.,83,0,38,Scarlett Johansson,42,0,5,Anthony Russo,18,0,3,Christopher Markus,9,0,5,Henry Jackman,17,0,11,Trent Opaloch,13,0,0,250000000,7.8,CLASS-4
Star Trek Beyond,2016,2,3928,2.35,Chris Pine,39,0,1,Zachary Quinto,46,0,0,Karl Urban,21,0,0,Justin Lin,16,0,3,Simon Pegg,21,0,11,Michael Giacchino,37,1,80,Stephen F. Windon,39,0,3,185000000,7.1,CLASS-3
The Legend of Tarzan,2016,2,3561,2.35,Alexander Skarsg̴rd,46,2,73,Rory J. Saper,1,0,9,Christian Stevens,115,0,0,David Yates,21,0,14,Adam Cozad,1,0,0,Rupert Gregson-Williams,24,0,12,Henry Braham,24,0,1,180000000,6.2,CLASS-2
X-Men: Apocalypse,2016,2,4150,2.35,James McAvoy,43,1,106,Michael Fassbender,47,0,67,Jennifer Lawrence,10,0,6,Bryan Singer,14,0,15,Simon Kinberg,10,0,4,John Ottman,33,1,8,Newton Thomas Sigel,63,0,5,178000000,6.9,CLASS-3
Suicide Squad,2016,2,4255,2.35,Will Smith,65,0,54,Jaime FitzSimons,4,0,5,Ike Barinholtz,34,0,0,David Ayer,8,0,0,David Ayer,9,0,0,Steven Price,40,1,19,Roman Vasyanov,13,0,2,175000000,6,CLASS-2
The Jungle Book,2016,1,4028,1.85,Neel Sethi,2,0,53,Bill Murray,81,0,45,Ben Kingsley,32,0,14,Jon Favreau,17,0,3,Justin Marks,6,0,0,John Debney,100,0,32,Bill Pope,48,0,3,175000000,7.4,CLASS-3
Independence Day: Resurgence,2016,2,4130,2.35,Liam Hemsworth,21,0,5,Jeff Goldblum,110,0,5,Jessie T. Usher,74,0,4,Roland Emmerich,18,0,15,Nicolas Wright,3,0,1,Harald Kloser,6,0,3,Markus F̦rderer,16,0,4,165000000,5.2,CLASS-2
Alice Through the Looking Glass,2016,1,3763,1.85,Johnny Depp,76,0,67,Mia Wasikowska,0,0,13,Helena Bonham Carter,40,1,56,James Bobin,12,0,2,Linda Woolverton,33,0,1,Danny Elfman,95,0,80,Stuart Dryburgh,45,0,10,170000000,6.2,CLASS-2
Warcraft,2016,2,3400,2.35,Travis Fimmel,20,0,2,Paula Patton,0,0,6,Ben Foster,31,0,11,Duncan Jones,4,0,15,Charles Leavitt,8,0,0,Ramin Djawadi,22,0,22,Simon Duggan,12,0,5,160000000,6.8,CLASS-3
